,Website,Posted,Area,Minimum_Beds,Maximum_Beds,Minimum_Cost,Maximum_Cost,Average_Cost
622,1,14,0,3,2,590,590,590
623,1,14,0,3,3,980,980,980
624,1,14,0,3,2,985,985,985
625,1,14,0,5,7,1595,1595,1595
626,1,14,0,1,2,395,395,395
627,1,14,0,1,1,735,735,735
628,1,14,0,3,3,875,875,875
629,1,14,0,3,2,1295,1295,1295
630,1,14,0,8,9,1000,1000,1000
631,1,14,0,5,7,1000,1000,1000
632,1,14,0,5,7,850,850,850
633,1,14,0,7,8,950,950,950
634,1,14,0,5,7,855,855,855
635,1,14,0,7,8,950,950,950
636,1,14,0,3,6,610,610,610
637,1,14,0,5,3,1190,1190,1190
638,1,14,0,7,8,1650,1650,1650
639,1,14,0,1,2,395,395,395
640,1,14,0,3,2,985,985,985
641,1,14,0,3,2,590,590,590
642,1,14,0,3,3,980,980,980
643,1,14,0,3,3,875,875,875
644,1,14,0,5,7,1595,1595,1595
645,1,14,0,5,4,1300,1300,1300
646,1,14,0,8,9,1040,1040,1040
647,1,14,0,1,4,709,709,709
648,1,14,0,5,7,935,935,935
649,1,14,0,3,3,625,625,625
650,1,14,0,5,4,1128,1128,1128
651,1,14,0,8,9,1576,1576,1576
652,1,14,0,5,3,1190,1190,1190
653,1,14,0,7,8,1587,1587,1587
654,1,14,0,7,4,1407,1407,1407
655,1,14,0,7,4,1407,1407,1407
656,1,14,0,5,7,968,968,968
657,1,14,0,5,7,948,948,948
658,1,14,0,7,5,1227,1227,1227
659,1,14,0,1,2,395,395,395
660,1,14,0,3,2,985,985,985
661,1,14,0,3,2,590,590,590
662,1,14,0,3,3,980,980,980
663,1,14,0,3,3,875,875,875
664,1,14,0,5,7,1595,1595,1595
665,1,14,0,5,4,1300,1300,1300
666,1,14,0,8,9,1040,1040,1040
667,1,14,0,1,4,709,709,709
668,1,14,0,5,7,935,935,935
669,1,14,0,3,3,625,625,625
670,1,14,0,5,4,1128,1128,1128
671,1,14,0,8,9,1576,1576,1576
672,1,14,0,7,8,1647,1647,1647
673,1,14,0,3,6,550,550,550
674,1,14,0,5,3,1190,1190,1190
675,1,14,0,7,8,1587,1587,1587
676,1,14,0,7,4,1407,1407,1407
677,1,14,0,0,0,584,584,584
678,1,14,0,5,7,1118,1118,1118
